,delta_t,Length(m),mu,angle(rad),gravity,total_time,period_time,experiment_period_time,Difference
0,0.1,0.27,0.2,0.3490658503988659,9.80665,10.0,1.3,1.0744,-0.22560000000000002
0,0.01,0.27,0.2,0.3490658503988659,9.80665,10.0,1.1237499999999816,1.0744,-0.049349999999981575
0,0.001,0.27,0.2,0.3490658503988659,9.80665,10.0,1.0543333333333533,1.0744,0.020066666666646693
0,0.0001,0.27,0.2,0.3490658503988659,9.80665,10.0,1.0525666666656956,1.0744,0.021833333334304372
0,0.1,0.27,0.3,0.3490658503988659,9.80665,10.0,1.3,1.0744,-0.22560000000000002
0,0.01,0.27,0.3,0.3490658503988659,9.80665,10.0,1.118571428571411,1.0744,-0.04417142857141099
0,0.001,0.27,0.3,0.3490658503988659,9.80665,10.0,1.0566666666666853,1.0744,0.017733333333314727
0,0.0001,0.27,0.3,0.3490658503988659,9.80665,10.0,1.0544777777768024,1.0744,0.019922222223197616
0,0.1,0.27,0.4,0.3490658503988659,9.80665,10.0,1.3,1.0744,-0.22560000000000002
0,0.01,0.27,0.4,0.3490658503988659,9.80665,10.0,1.182857142857124,1.0744,-0.10845714285712393
0,0.001,0.27,0.4,0.3490658503988659,9.80665,10.0,1.0598888888889058,1.0744,0.014511111111094266
0,0.0001,0.27,0.4,0.3490658503988659,9.80665,10.0,1.0572111111101292,1.0744,0.0171888888898708
0,0.1,0.27,0.5,0.3490658503988659,9.80665,10.0,1.3,1.0744,-0.22560000000000002
0,0.01,0.27,0.5,0.3490658503988659,9.80665,10.0,1.1549999999999827,1.0744,-0.08059999999998269
0,0.001,0.27,0.5,0.3490658503988659,9.80665,10.0,1.064444444444459,1.0744,0.009955555555541062
0,0.0001,0.27,0.5,0.3490658503988659,9.80665,10.0,1.060966666665676,1.0744,0.01343333333432395
0,0.1,0.27,0.6,0.3490658503988659,9.80665,10.0,1.3,1.0744,-0.22560000000000002
0,0.01,0.27,0.6,0.3490658503988659,9.80665,10.0,1.1419999999999846,1.0744,-0.06759999999998456
0,0.001,0.27,0.6,0.3490658503988659,9.80665,10.0,1.0704444444444556,1.0744,0.003955555555544388
0,0.0001,0.27,0.6,0.3490658503988659,9.80665,10.0,1.0659888888878866,1.0744,0.008411111112113456
0,0.1,0.27,0.7,0.3490658503988659,9.80665,10.0,1.4000000000000001,1.0744,-0.3256000000000001
0,0.01,0.27,0.7,0.3490658503988659,9.80665,10.0,1.134999999999987,1.0744,-0.06059999999998689
0,0.001,0.27,0.7,0.3490658503988659,9.80665,10.0,1.078666666666673,1.0744,-0.00426666666667308
0,0.0001,0.27,0.7,0.3490658503988659,9.80665,10.0,1.0726666666656488,1.0744,0.001733333334351217
0,0.1,0.27,0.8,0.3490658503988659,9.80665,10.0,1.8000000000000005,1.0744,-0.7256000000000005
